PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de CUIT/L PRODUCTOR,Establecimientos por Productor,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
CORRIENTES,BELLA VISTA,86,94,18121.441999999992,2359.191999999999,13.02 %
CORRIENTES,BERON DE ASTRADA,6,9,21133.2,11304.5,53.49 %
CORRIENTES,CAPITAL,28,28,97.23,97.23,100.00 %
CORRIENTES,CONCEPCION,377,385,4212.741,1662.7410000000004,39.47 %
CORRIENTES,CURUZU CUATIA,36,40,33051.616,18592.616,56.25 %
CORRIENTES,EMPEDRADO,35,35,498.59999999999997,398.6,79.94 %
CORRIENTES,ESQUINA,70,74,15360,2342,15.25 %
CORRIENTES,GENERAL ALVEAR,6,6,752.25,752.25,100.00 %
CORRIENTES,GENERAL PAZ,224,233,4147.195,638.195,15.39 %
CORRIENTES,GOYA,373,377,3033.5880000000034,886.5880000000001,29.23 %
CORRIENTES,ITATI,69,70,1005.69,275.69,27.41 %
CORRIENTES,ITUZAINGO,95,97,6053.5229999999965,3377.523,55.79 %
CORRIENTES,LAVALLE,67,71,19750.122,3569.1220000000003,18.07 %
CORRIENTES,MBURUCUYA,186,187,72031.65,71451.65,99.19 %
CORRIENTES,MERCEDES,23,28,104164.91500000002,4215.3150000000005,4.05 %
CORRIENTES,MONTE CASEROS,11,15,8404.75,1125.75,13.39 %
CORRIENTES,PASO DE LOS LIBRES,9,11,9120.900000000001,2446.3,26.82 %
CORRIENTES,SALADAS,116,117,2434.77,1104.77,45.37 %
CORRIENTES,SAN COSME,38,38,62.66199999999999,62.66199999999999,100.00 %
CORRIENTES,SAN LUIS DEL PALMAR,44,45,1342.62,1342.62,100.00 %
CORRIENTES,SAN MARTIN,7,8,14733.9,10233.9,69.46 %
CORRIENTES,SAN MIGUEL,442,455,506.98100000000034,506.98100000000034,100.00 %
CORRIENTES,SAN ROQUE,191,195,3478.054,1378.0540000000003,39.62 %
CORRIENTES,SANTO TOME,22,23,5781.02,1355.02,23.44 %
CORRIENTES,SAUCE,16,23,40735,3077,7.55 %
