PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de CUIT/L PRODUCTOR,NO CLIENTES,Establecimientos por Productor,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
ENTRE RIOS,COLON,191,146,359,56745,36529.74,"64,38 %"
ENTRE RIOS,CONCORDIA,102,64,160,82232,50476.5,"61,38 %"
ENTRE RIOS,DIAMANTE,723,585,1472,108505,69674.098412,"64,21 %"
ENTRE RIOS,FEDERACION,66,35,92,74361,26881.0003,"36,15 %"
ENTRE RIOS,FEDERAL,147,77,214,84590,34873.95,"41,23 %"
ENTRE RIOS,FELICIANO,43,23,52,35780,7529.3,"21,04 %"
ENTRE RIOS,GUALEGUAY,411,330,946,274326,143966.8772,"52,48 %"
ENTRE RIOS,GUALEGUAYCHU,674,565,2025,402552,235825.48499999993,"58,58 %"
ENTRE RIOS,LA PAZ,134,58,413,195610,64102.899999999994,"32,77 %"
ENTRE RIOS,NOGOYA,916,752,1781,212935,136746.66030000002,"64,22 %"
ENTRE RIOS,PARANA,200,102,914,175915,71857.95000000001,"40,85 %"
ENTRE RIOS,SAN SALVADOR,178,106,315,48566,21840.979999999996,"44,97 %"
ENTRE RIOS,TALA,380,302,892,135292,74467.5111,"55,04 %"
ENTRE RIOS,URUGUAY,442,345,1120,270531,139022.9126,"51,39 %"
ENTRE RIOS,VICTORIA,483,368,1441,203267,90241.6046,"44,40 %"
ENTRE RIOS,VILLAGUAY,702,541,1274,252982,144498.72330000004,"57,12 %"
