PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de TITULAR,Recuento de NOMBRE ESTABLECIMIENTO,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
ENTRE RIOS,COLON,191,233,65633.07,40191.74,61.24 %
ENTRE RIOS,CONCORDIA,102,105,88516.68,54841.5,61.96 %
ENTRE RIOS,DIAMANTE,722,934,125923.6382,84597.69781,67.18 %
ENTRE RIOS,FEDERACION,68,64,116914.501,53030.0009,45.36 %
ENTRE RIOS,FEDERAL,147,137,115053.35,48844.85,42.45 %
ENTRE RIOS,FELICIANO,43,38,57834.65,17818.2,30.81 %
ENTRE RIOS,GUALEGUAY,410,494,286968.8344,151499.4844,52.79 %
ENTRE RIOS,GUALEGUAYCHU,673,1002,459500.716,276166.786,60.10 %
ENTRE RIOS,LA PAZ,134,304,371266.52,123586.9,33.29 %
ENTRE RIOS,NOGOYA,916,949,282465.3563,175608.7263,62.17 %
ENTRE RIOS,PARANA,200,773,257915.4862,100788.55,39.08 %
ENTRE RIOS,SAN SALVADOR,178,184,55006.02,24378.48,44.32 %
ENTRE RIOS,TALA,380,568,147297.8771,78934.0111,53.59 %
ENTRE RIOS,URUGUAY,442,686,299755.2282,148592.1182,49.57 %
ENTRE RIOS,VICTORIA,483,915,247084.6976,112358.8846,45.47 %
ENTRE RIOS,VILLAGUAY,702,676,306612.8205,181272.0633,59.12 %
