PROVINCIA ESTABLECIMIENTO,PARTIDO ESTABLECIMIENTO,Recuento de TITULAR,Recuento de NOMBRE ESTABLECIMIENTO,Suma de TOTAL DE HECTAREAS SEMBRADAS,Total de hectareas de no clientes,Porcentaje de hectareas de no clientes
CORRIENTES,BELLA VISTA,86,63,5389.482,1717.982,31.88 %
CORRIENTES,BERON DE ASTRADA,6,7,11749.35,4792.5,40.79 %
CORRIENTES,CAPITAL,28,23,52.98,52.98,100.00 %
CORRIENTES,CONCEPCION,375,209,3331.6209999999996,2981.6209999999996,89.49 %
CORRIENTES,CURUZU CUATIA,36,31,19876.616,8108.616,40.79 %
CORRIENTES,EMPEDRADO,35,23,228.4,128.4,56.22 %
CORRIENTES,ESQUINA,70,57,12848.5,3407.5,26.52 %
CORRIENTES,GENERAL ALVEAR,6,6,752.25,752.25,100.00 %
CORRIENTES,GENERAL PAZ,224,141,4070.0339999999997,561.034,13.78 %
CORRIENTES,GOYA,372,235,1816.990999999999,292.99099999999976,16.13 %
CORRIENTES,ITATI,69,32,1002.3900000000001,572.3900000000001,57.10 %
CORRIENTES,ITUZAINGO,95,39,4480.5419999999995,1870.542,41.75 %
CORRIENTES,LAVALLE,67,63,11162.920999999998,2374.9210000000003,21.28 %
CORRIENTES,MBURUCUYA,186,134,7302.45,7012.45,96.03 %
CORRIENTES,MERCEDES,23,24,75177.40999999999,3160.21,4.20 %
CORRIENTES,MONTE CASEROS,11,11,8404.75,1125.75,13.39 %
CORRIENTES,PASO DE LOS LIBRES,9,10,8720.900000000001,2046.3,23.46 %
CORRIENTES,SALADAS,116,75,1981.27,1501.27,75.77 %
CORRIENTES,SAN COSME,38,27,37.910999999999994,37.910999999999994,100.00 %
CORRIENTES,SAN LUIS DEL PALMAR,44,16,152.51,152.51,100.00 %
CORRIENTES,SAN MARTIN,7,7,8867.9,5867.9,66.17 %
CORRIENTES,SAN MIGUEL,440,238,450.6810000000003,450.6810000000003,100.00 %
CORRIENTES,SAN ROQUE,191,59,2553.6540000000005,1073.654,42.04 %
CORRIENTES,SANTO TOME,22,19,2347.0200000000004,914.02,38.94 %
CORRIENTES,SAUCE,16,14,11678,3360,28.77 %
